USP39,ENSG00000168883.18,2
CDC5L,ENSG00000096401.7,2
CASC3,ENSG00000108349.13,1
CRNKL1,ENSG00000101343.13,1
MRPL46,ENSG00000259494.1,2
LSM3,ENSG00000170860.3,1
EIF4A3,ENSG00000141543.8,2
EIF3K,ENSG00000178982.8,1
SRP14,ENSG00000140319.9,2
SRP72,ENSG00000174780.14,1
PSMC5,ENSG00000087191.11,1
DHX29,ENSG00000067248.8,2
UBQLN4,ENSG00000160803.7,2
EMC3,ENSG00000125037.11,1
EMC1,ENSG00000127463.12,2
PRMT5,ENSG00000100462.14,2
UCHL5,ENSG00000116750.12,1
MRPS24,ENSG00000062582.12,1
PSME1,ENSG00000092010.13,2
PSMD6,ENSG00000163636.9,3
PPIH,ENSG00000171960.9,3
EMC6,ENSG00000127774.6,3
SRP9,ENSG00000143742.11,3
PRMT1,ENSG00000126457.19,3
IDE,ENSG00000119912.14,3
EIF3M,ENSG00000149100.11,3
CHCHD1,ENSG00000172586.7,3
CWC22,ENSG00000163510.12,3
HSPA8,ENSG00000109971.12,3
TUBB,ENSG00000196230.11,4
TUBA1A,ENSG00000167552.12,5
